id_casa,nome_casa,via,gestore,lat,lon,quartiere,numero_civico,area_ortiva,area_statistica,sito_web,numero_civico_base,numero_civico_specificita,lunedi_mattina,lunedi_pomeriggio,martedi_mattina,martedi_pomeriggio,mercoledi_mattina,mercoledi_pomeriggio,giovedi_mattina,giovedi_pomeriggio,venerdi_mattina,venerdi_pomeriggio,sabato_mattina,sabato_pomeriggio,domenica_mattina,domenica_pomeriggio,edificio_storico
cdq_22,Katia Bertasi,Via Fioravanti,Associazione Senza Il Banco,44.5119457,11.3409813,Navile,22,False,EX MERCATO ORTOFRUTTICOLO,https://www.comune.bologna.it/informazioni/casa-quartiere-katia-bertasi,22,,7:00-13:00,13:00-23:00,7:00-13:00,13:00-23:00,7:00-13:00,13:00-23:00,7:00-13:00,13:00-23:00,7:00-13:00,13:00-23:00,,15:00-20:00,,15:00-20:00,False
cdq_23,Ruozi,Via Castelmerlo,Centro sociale e ricreativo Ruozi,44.4917146,11.3782433,San Donato - San Vitale,13,False,GUELFA,https://www.comune.bologna.it/informazioni/casa-quartiere-ruozi,13,,9:00-12:30,15:00-18:00,,15:00-18:00,9:00-11:00,15:00-19:00,,,9:00-11:00,15:00-18:00,,,,,False
cdq_24,Della Pace,Via del Pratello,Centro Sociale della Pace,44.495539,11.3316777,Porto - Saragozza,53,,MALPIGHI-2,https://www.comune.bologna.it/informazioni/casa-quartiere-della-pace,53,,,15:00-22:00,,15:00-22:00,,15:00-22:00,,15:00-22:00,,15:00-22:00,,15:00-22:00,,15:00-22:00,False
cdq_25,Pilastro,Via Dino Campana,Senza il Banco,44.513998,11.3980091,San Donato - San Vitale,4,False,PILASTRO,https://www.comune.bologna.it/informazioni/casa-quartiere-pilastro,4,,,,,,,,,,,,,,,,False
cdq_26,Foscherara,"Via Giuseppe Cesare
Abba",Associazione Centro Sociale Foscherara,44.4650825,11.379103,Savena,6/A,False,CORELLI,https://www.comune.bologna.it/informazioni/casa-quartiere-foscherara,6,A,,,,,,,,,,,,,,,False
cdq_27,San Rafel,Via  A. Ponchielli,Associazione Senza Il Banco,44.4659745,11.3739898,Savena,21,False,VIA TOSCANA,https://www.comune.bologna.it/vivere-il-comune/luoghi/case-quartiere/casa-quartiere-san-rafel,21,,,,,15:00-21:30,9:30-12:30,15:00-20:00,,15:00-20:00,9:30-12:30,15:00-20:00,,15:00-20:00,,15:00-20:00,False
cdq_28,Villa Mazzacorati,Via Toscana,Associazione Centro Sociale Villa Mazzacorati,44.4697316,11.3700086,Savena,19,False,MONTE DONATO,https://www.comune.bologna.it/informazioni/casa-quartiere-villa-mazzacorati,19,,,,,,,,,,,,,,,,True
cdq_29,Montanari,Via di Saliceto,Associazione Centro Sociale A. Montanari APS,44.5130313,11.3504039,Navile,3/21,True,VIA FERRARESE,https://www.comune.bologna.it/informazioni/casa-quartiere-montanari,3,21,,15:00-19:00,8:45-12:00,15:00-19:00,8:45-12:00,15:00-19:00,8:45-12:00,15:00-19:00,8:45-12:00,15:00-19:00,,,,15:00-18:00,False
cdq_30,Saffi,Via Ludovico Berti,Centro Sociale Saffi,44.5017676,11.3299532,Porto - Saragozza,2/10,True,ZANARDI,https://www.comune.bologna.it/informazioni/casa-quartiere-saffi,2,10,,15:00-18:00,,15:00-18:00,,15:00-18:00,,15:00-18:00,,15:00-18:00,,,,,False
cdq_31,Tolmino,Via Podgora,nan,44.4977357,11.3181005,Porto - Saragozza,41,,VIA VITTORIO VENETO,https://www.comune.bologna.it/vivere-il-comune/luoghi/case-quartiere/casa-quartiere-tolmino,41,,,15:15-18:20,,15:15-18:20,,15:15-18:20,,15:15-18:20,,15:15-18:20,,,10:00-12:30,,False
cdq_32,Rosa Marchi,Via Pietro Nenni,Centro Sociale e orti Rosa Marchi APS,44.4927777,11.2907756,Borgo Panigale - Reno,11,True,BATTINDARNO,https://www.comune.bologna.it/informazioni/casa-quartiere-rosa-marchi,11,,,14:30-19:30,,14:30-19:30,,14:30-19:30,,14:30-19:30,,14:30-19:30,,14:30-19:30,,14:30-19:30,False
cdq_33,Lunetta Gamberini,Via Degli Orti,Centro Sociale Lunetta Gamberini,44.4769847,11.3748928,Santo Stefano,60,False,DAGNINI,https://www.comune.bologna.it/informazioni/casa-quartiere-lunetta-gamberini,60,,9:00-13:00,13:00-23:00,9:00-13:00,13:00-23:00,9:00-13:00,13:00-23:00,9:00-13:00,13:00-23:00,9:00-13:00,13:00-20:00,9:00-13:00,13:00-20:00,9:00-13:00,13:00-20:00,False
